value,label
"dgx
","dgx
 Quest Diagnostics health care health care services SP500"
"rl
","rl
 Ralph Lauren Corporation consumer discretionary apparel, accessories & luxury goods SP500"
"rjf
","rjf
 Raymond James Financial Inc. financials investment banking & brokerage SP500"
"rtx
","rtx
 Raytheon Technologies industrials aerospace & defense SP500"
"o
","o
 Realty Income Corporation real estate retail reits SP500"
"reg
","reg
 Regency Centers Corporation real estate retail reits SP500"
"regn
","regn
 Regeneron Pharmaceuticals health care biotechnology SP500"
"rf
","rf
 Regions Financial Corp. financials regional banks SP500"
"rsg
","rsg
 Republic Services Inc industrials environmental & facilities services SP500"
"rmd
","rmd
 ResMed health care health care equipment SP500"
"rhi
","rhi
 Robert Half International industrials human resource & employment services SP500"
"rok
","rok
 Rockwell Automation Inc. industrials electrical components & equipment SP500"
"rol
","rol
 Rollins Inc. industrials environmental & facilities services SP500"
"rop
","rop
 Roper Technologies industrials industrial conglomerates SP500"
"rost
","rost
 Ross Stores consumer discretionary apparel retail SP500"
"rcl
","rcl
 Royal Caribbean Cruises Ltd consumer discretionary hotels, resorts & cruise lines SP500"
"spgi
","spgi
 S&P Global, Inc. financials financial exchanges & data SP500"
"crm
","crm
 Salesforce.com information technology application software SP500"
"sbac
","sbac
 SBA Communications real estate specialized reits SP500"
"slb
","slb
 Schlumberger Ltd. energy oil & gas equipment & services SP500"
"stx
","stx
 Seagate Technology information technology technology hardware, storage & peripherals SP500"
"see
","see
 Sealed Air materials paper packaging SP500"
"sre
","sre
 Sempra Energy utilities multi-utilities SP500"
"now
","now
 ServiceNow information technology systems software SP500"
"shw
","shw
 Sherwin-Williams materials specialty chemicals SP500"
"spg
","spg
 Simon Property Group Inc real estate retail reits SP500"
"swks
","swks
 Skyworks Solutions information technology semiconductors SP500"
"slg
","slg
 SL Green Realty real estate office reits SP500"
"sna
","sna
 Snap-on industrials industrial machinery SP500"
"so
","so
 Southern Company utilities electric utilities SP500"
"luv
","luv
 Southwest Airlines industrials airlines SP500"
"swk
","swk
 Stanley Black & Decker industrials industrial machinery SP500"
